school_name,providers
Landmark High School,Verizon|Spectrum|Optical Communications Group Inc|Astound Broadband|Pilot Fiber|Lightpath
East Islip High School,Verizon|Optimum|Lightpath
Hicksville High School,Verizon|FirstLight Fiber|Optimum|Lightpath
Laurel Park Elementary School,Verizon|Optimum|Lightpath
South Ocean Middle School,Verizon|Optimum|Lightpath
Brentwood High School,Verizon|Optimum|Lightpath
Cantiague Elementary School,Verizon|Lightpath|Xfinity|Optimum|ZAYO GROUP LLC
Howard B. Mattlin Middle School,Verizon|Optical Communications Group Inc|Optimum|Lightpath
Hunter College Campus Schools,Verizon|Spectrum|Astound Broadband|Pilot Fiber|Lightpath
Richard S. Sherman - Great Neck North Middle School,Verizon|Optimum|Lightpath
"Columbia Secondary School For Math, Science And Engineering",Verizon|Lightpath|Pilot Fiber|Spectrum
Vanderbilt Elementary School,Verizon|Optimum|Frontier|Lightpath
Bronx Community High School,Verizon|Optimum|Pilot Fiber|Lightpath
Middle School X101 Edward R Byrne,Verizon|Optimum|Lightpath
Henry P Becton Regional High School,
Dogwood Elementary School,Verizon|Optimum|Lightpath
Accompsett Elementary School,Verizon|Optimum|Lightpath
Accompsett Middle School,Verizon|Optimum|Lightpath
Mills Pond Elementary School,Verizon|Optical Communications Group Inc|Optimum|Lightpath
Pulaski Road Elementary School,Verizon|Optimum|Lightpath
Ann MacArthur Primary School,Verizon|Optimum|Lightpath
William T. Rogers Middle School,Verizon|Optimum|Lightpath
Comsewogue High School,Lightpath|Optimum|Verizon
Martin Luther King Junior High Technical and Computer Magnet School,Verizon|Optimum|Lightpath
Rocky Point Middle/High School,Lightpath|ZAYO GROUP LLC|Optimum|Verizon
Highview School,Verizon|Optimum|Lightpath
Eric S Simith Middle School,
Byram Hills High School,Verizon|Optimum|Lightpath
Fox Lane Middle School,Verizon|Optimum|Lightpath
Mount Kisco Elementary School,Verizon|Optimum|Lightpath
Bedford Village Elementary School,Verizon|Optimum|Lightpath
Greenwood Lake Middle School,"Optimum|Alteva Of Warwick, LLC|Frontier|Spectrum|Lightpath"
Peekskill Middle School,Verizon|Optimum|Lightpath
Sapphire Elementary School,Optimum|Frontier|FirstLight Fiber|Spectrum|Lightpath
Mohansic Elementary School,Verizon|Lightpath|FirstLight Fiber|Xfinity|Optimum
North Main Street Elementary School,Optimum|Frontier|FirstLight Fiber|Spectrum|Lightpath
Putnam Valley Middle School,Verizon|Xfinity|Optimum|Lightpath
James I O'Neill High School,Lightpath|Spectrum
Mahopac High School,Verizon|Xfinity|Optimum|Lightpath
Round Hill Elementary School,Lightpath|Optimum|Frontier|Spectrum
Cornwall Central Middle School,Verizon|Lightpath|QCSTelecom Inc|Spectrum
Kent Elementary School,Verizon|Xfinity|Optimum|Lightpath
Fishkill Elementary School,Verizon|Optimum|Lightpath
John G Borden Middle School,Frontier|FirstLight Fiber|Optimum|Spectrum
Fallsburg Junior Senior High School,Spectrum
Haviland Middle School,Lightpath|Optimum|Verizon|Spectrum
Webutuck Middle School-High School,Optimum|Fidium Fiber|FirstLight Fiber|Xfinity|Lightpath
Rhinebeck High School,Frontier|Archtop Fiber|FirstLight Fiber|Spectrum|Xfinity|Optimum
Otto-Eldred Junior/Senior High School,
Woodstock Elementary School,FirstLight Fiber|Archtop Fiber|Spectrum
Jasper-Troupsburg Elementary School,FirstLight Fiber|Armstrong Telecommunications Inc|Armstrong Telephone Company|Spectrum
Tioga Senior High School,Zeta Broadband|Haefele Connect|Fiberspark Inc|Greenlight Networks|FirstLight Fiber|Spectrum
Bolivar Richburg Junior Senior High School,Armstrong Telecommunications Inc|Spectrum
Olean Senior High School,FirstLight Fiber|Spectrum
Windsor Elementary School,TDS Telecom|Adams CATV Inc|FirstLight Fiber|Spectrum|PenTeleData
Southwestern High School,"DFT Local Service|Windstream New York, Inc.|Spectrum"
Union-Endicott High School,Empire Long Distance Corporation|Greenlight Networks|Spectrum
Seton Catholic Central High School,Empire Long Distance Corporation|Greenlight Networks|FirstLight Fiber|Spectrum
Owego Elementary School,Empire Long Distance Corporation|Greenlight Networks|FirstLight Fiber|Spectrum
Cohen Middle School,Empire Long Distance Corporation|FirstLight Fiber|Spectrum
Wellsville Elementary School,Empire Long Distance Corporation|FirstLight Fiber|Armstrong Telecommunications Inc|Armstrong Telephone Company|Spectrum
Walton Central School Middle and High,Frontier|FirstLight Fiber|MTC Cable|Spectrum|Delhi Telephone Company
Prospect Elementary School,Armstrong Telecommunications Inc|Breezeline|Spectrum
Hunter-Tannsersville Middle School High School,Spectrum
Spencer-Van Etten High School,FirstLight Fiber|Point Broadband Fiber Holding LLC|Haefele Connect
Sidney Elementary School,Frontier|FirstLight Fiber|Spectrum
Cattaraugus Central High School,"Windstream New York, Inc.|Armstrong Telecommunications Inc|Spectrum"
Keshequa Central High School,Frontier|Empire Long Distance Corporation|FirstLight Fiber|Armstrong Telecommunications Inc|Spectrum
Nunda Middle and High School,Frontier|Empire Long Distance Corporation|FirstLight Fiber|Armstrong Telecommunications Inc|Spectrum
Groton Elementary,Verizon|FirstLight Fiber|Point Broadband Fiber Holding LLC|Spectrum
Bethlehem Central Middle School,Verizon|Spectrum
Homer High School,Verizon|Point Broadband Fiber Holding LLC|Spectrum
Clayton A. Boughton High School,Verizon|FirstLight Fiber|Spectrum
Green Tech High Charter School,Verizon|FirstLight Fiber|Spectrum
Voorheesville Elementary School,Verizon|Spectrum
New Scotland Elementary,Verizon|Massivemesh Networks|FirstLight Fiber|Spectrum
Bell Top Elementary School,FirstLight Fiber|Spectrum
Robert Frost Elementary School,
Farnsworth Middle School,Verizon|Spectrum
Poestenkill Elementary School,Fidium Fiber|Spectrum
Cooperstown Elementary School,MIDTEL|OEConnect|FirstLight Fiber|Spectrum
Tech Valley High School,Spectrum
Blue Creek Elementary School,Verizon|FirstLight Fiber|Spectrum
KIPP Troy Prep Elementary School,Massivemesh Networks|FirstLight Fiber|Spectrum
Lisha Kill Middle School,Verizon|FirstLight Fiber|Xfinity|Spectrum
Turnpike Elementary School,Spectrum
William C Keane Elementary School,Verizon|FirstLight Fiber|Spectrum
Hamilton Elementary School,Verizon|FirstLight Fiber|Spectrum
Martin Luther King Magnet Elementary School,Verizon|Massivemesh Networks|FirstLight Fiber|Spectrum
Fabius-Pompey Middle School-High School,Verizon|Point Broadband Fiber Holding LLC|Spectrum
West Senior High School,Verizon|Spectrum
Lorraine Elementary School,Verizon|FirstLight Fiber|Spectrum
Lancaster Middle School,Greenlight Networks|Spectrum
Avon Middle School,Frontier|Empire Long Distance Corporation|FirstLight Fiber|Spectrum
Waterloo High & Middle School Campus,FirstLight Fiber|GoNetspeed|Spectrum
Seneca Falls Middle School,FirstLight Fiber|GoNetspeed|Spectrum
Skaneateles High School,"Verizon|Windstream New York, Inc.|FirstLight Fiber|Spectrum"
Red Jacket High School,"Empire Long Distance Corporation|Windstream New York, Inc.|GoNetspeed|Spectrum"
Amsterdam High School,Frontier|FirstLight Fiber|Pattersonville Telephone Company|Spectrum
Kenmore West Sr. High School,Verizon|FirstLight Fiber|Spectrum
Pembroke Jr. Sr. High School,Empire Long Distance Corporation|FirstLight Fiber|Empire Telephone Corp.|Spectrum
Eagle Hill Middle School,"Verizon|Windstream New York, Inc.|FirstLight Fiber|Spectrum"
Enders Road Elementary School,"Verizon|Windstream New York, Inc.|FirstLight Fiber|Spectrum"
OESJ High School,Frontier|Spectrum
Immaculate Conception Elementary School,"Verizon|Windstream New York, Inc.|Northland Networks|Spectrum"
Westhill Central High School,"Verizon|Windstream New York, Inc.|Northland Networks|Spectrum"
Jordan-Elbridge Senior High School,Verizon|FirstLight Fiber|Spectrum
OESJ Elementary/Middle School,Frontier|Xfinity|Verizon|Spectrum
Macedon Elementary School,FirstLight Fiber|GoNetspeed|Spectrum
Pine Grove Middle and Woodland Elementary,Verizon|FirstLight Fiber|Northland Networks|Spectrum
Jefferson Road Elementary School,Frontier|Greenlight Networks|FirstLight Fiber|Spectrum
Lake Avenue Elementary School,Verizon|FirstLight Fiber|Spectrum
John F Hughes Elementary School,GoNetspeed|Northland Networks|Spectrum
Gaskill High School,Spectrum
North Broad Elementary School,FirstLight Fiber|Northland Networks|Spectrum
Maple Avenue Middle School,FirstLight Fiber|Spectrum
Mayfield Elementary School,Frontier|FirstLight Fiber|Spectrum
Donlin Drive Elementary School,Verizon|FirstLight Fiber|Northland Networks|Spectrum
Vernon-Verona-Sherrill Senior High School,Verizon|FirstLight Fiber|Northland Networks|Spectrum
John F. Kennedy Middle School,GoNetspeed|Northland Networks|Spectrum
Rockester Preparatory High School,Frontier|Greenlight Networks|Spectrum
Marion Junior-Senior High School,FirstLight Fiber|Spectrum
Ballard Elementary School,"Zayo Network Services, LLC|FirstLight Fiber|Spectrum"
DeSales Elementary and Middle School,GoNetspeed|Spectrum
Willow Field Elementary School,Verizon|Northland Networks|Spectrum
Bellamy Elementary School,Verizon|FirstLight Fiber|Northland Networks|Spectrum
Spry Middle School,Frontier|Greenlight Networks|Spectrum
Willink Middle School,Frontier|Greenlight Networks|FirstLight Fiber|Spectrum
Albion Middle School,Spectrum
Corinth Middle-High School,FirstLight Fiber|Spectrum
Paddy Hill Elementary School,Frontier|Greenlight Networks|Empire Long Distance Corporation|Spectrum
Millard Hawk Elementary School,"Windstream New York, Inc.|Xfinity|FirstLight Fiber|Spectrum"
Paul V Moore High School,"Windstream New York, Inc.|Xfinity|FirstLight Fiber|Spectrum"
Abraham Wing Elementary School,FirstLight Fiber|SLICFiber|Spectrum
Whitehall Elementary School,FirstLight Fiber|SLICFiber|Spectrum
Sandy Creek High School,Frontier|Spectrum
General Bruce C. Clark Junior/Senior High School,"Westelcom Networks, Inc|Spectrum"
Ohio Elementary School,"Westelcom Networks, Inc|Spectrum"
Dexter Elementary School,Verizon|TDS Telecom|Spectrum
Indian River Central High School,Verizon|Spectrum
Theresa Elementary School,"Verizon|Citizens Telephone Company of Hammond, NY|Castle Cable TV|FirstLight Fiber|Spectrum"
Lake Placid High School,Lake Placid Fiber|SLICFiber|FirstLight Fiber|Spectrum|Xfinity
Paul Smiths College,Spectrum
Grant C. Madill Elementary School,Verizon|Frontier|SLICFiber|Spectrum
John F. Kennedy Elementary School,Frontier|FirstLight Fiber|SLICFiber|Spectrum
Madrid-Waddington High School,FirstLight Fiber|SLICFiber|Spectrum
Malone Middle School,"Westelcom Networks, Inc|SLICFiber|Spectrum"
Flanders Elementary School,"Westelcom Networks, Inc|SLICFiber|Spectrum"
Madison Elementary School,FirstLight Fiber|SLICFiber|Spectrum
Rouses Point Elementary School,Chazy Westport Communications|FirstLight Fiber|Champlain Technology Group|Spectrum
